latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
2.53962,103.67857,351.9,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,316.1,26.9,D
2.53909,103.67507,339.4,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,305.9,7.8,D
2.54296,103.67807,350.9,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,309.4,26.9,D
2.54174,103.62472,347.5,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,301.1,10.2,D
2.54507,103.62422,350,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,303.9,5.5,D
2.54455,103.62074,345.5,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,303.9,5.5,D
2.54841,103.62373,333.3,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,299.4,5.5,D
2.54788,103.62024,334.2,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,299.9,5.5,D
2.55279,103.6302,345.8,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,300.4,7.5,D
2.56332,103.63221,332.3,0.39,0.36,2021-03-09,06:30,N,low,1.0NRT,303.2,2.7,D
2.56613,103.62822,330.9,0.39,0.36,2021-03-09,06:30,N,low,1.0NRT,302.2,3,D
2.23349,99.34956,331.5,0.49,0.4,2021-03-09,06:30,N,low,1.0NRT,292.6,4.9,D
2.86889,103.43896,330.7,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,303.5,5.2,D
2.87222,103.43846,341.8,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,305.4,5.2,D
2.87169,103.43498,333.7,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,303.3,5.2,D
2.87555,103.43797,333.5,0.39,0.36,2021-03-09,06:30,N,low,1.0NRT,303.9,4.2,D
2.89637,103.32832,337.9,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,300.1,3,D
2.92822,103.43275,336,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,301.5,1.9,D
2.94999,103.2839,367,0.39,0.36,2021-03-09,06:30,N,high,1.0NRT,302.9,77.1,D
2.94789,103.27003,333.5,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,299.5,38.5,D
2.95279,103.27994,333.7,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,301.5,6.3,D
2.95506,103.27251,339.1,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,300.8,6.4,D
2.96223,103.27499,351.8,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,308.8,38.1,D
3.04081,103.41587,336.4,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,300.4,3,D
3.09686,103.26897,344.1,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,300.2,4.9,D
3.09476,103.25509,330.8,0.39,0.36,2021-03-09,06:30,N,low,1.0NRT,304.7,4.6,D
2.52283,99.43324,335.7,0.48,0.4,2021-03-09,06:30,N,nominal,1.0NRT,298.1,48.5,D
3.1452,103.39225,338.5,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,302.7,5.3,D
3.14905,103.39523,348.1,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,304,5.3,D
3.15186,103.39125,331.3,0.39,0.36,2021-03-09,06:30,N,nominal,1.0NRT,300.4,3.1,D
